"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000034164",362.430203333785,-0.640428656052485,0.137701810415358,-4.65083686351489,3.30590767588113e-06,0.00115553005508124,"Not significant"
"ENSMUSG00000038642",1344.6549691588,0.515872734551539,0.111082320927176,4.64405794050467,3.41631684790198e-06,0.00116698277781743,"Not significant"
"ENSMUSG00000027577",283.00241135433,0.800957467135142,0.174084921283124,4.60095832098233,4.20551580293768e-06,0.0013741065764816,"Not significant"
"ENSMUSG00000042978",21516.9936017769,-0.378408108250722,0.0822045559911226,-4.60324982828916,4.15948768463762e-06,0.0013741065764816,"Not significant"
"ENSMUSG00000029661",1502.83334677435,-0.515012315652448,0.112225534713347,-4.58908319722354,4.45196978029404e-06,0.00139402303745457,"Not significant"
"ENSMUSG00000085873",388.050570981912,0.649087895664672,0.141381794977403,4.5910288221225,4.41066416331722e-06,0.00139402303745457,"Not significant"
"ENSMUSG00000033579",1597.80082150453,-0.454512015988759,0.0995217208455754,-4.56696299186798,4.94841333859682e-06,0.00151785005059409,"Not significant"
"ENSMUSG00000020241",433.611979225239,-0.778807653629765,0.172152337453216,-4.52394469428226,6.06975913859942e-06,0.00175439384332979,"Not significant"
"ENSMUSG00000027858",8186.80754190522,-0.49460510926948,0.109310701734386,-4.52476382844309,6.04629855755239e-06,0.00175439384332979,"Not significant"
"ENSMUSG00000040296",260.37866491577,0.702930685666826,0.155346437491387,4.52492311390019,6.0417465987432e-06,0.00175439384332979,"Not significant"
"ENSMUSG00000000263",74.565415065572,1.62769671963142,0.360924152708449,4.50980270346788,6.48879450269709e-06,0.00184012417689693,"Upregulated"
"ENSMUSG00000052688",58.0997535462965,-1.3549801056772,0.30661634389798,-4.41913855097054,9.90951055067032e-06,0.00275814710326991,"Downregulated"
"ENSMUSG00000050967",425.686391243546,0.844847332535325,0.191674729726072,4.40771370197168,1.04467507711977e-05,0.00285481207438366,"Not significant"
"ENSMUSG00000121179",2109.24055603773,0.652338441258833,0.148425563835389,4.39505449332372,1.10744968787208e-05,0.00297231585869954,"Not significant"
"ENSMUSG00000028927",837.288859114781,-0.47428707295187,0.108632632039391,-4.36597239750107,1.26558462225861e-05,0.00333714681974506,"Not significant"
"ENSMUSG00000004110",8661.84605776047,-0.420310152837596,0.0966313451993637,-4.34962539298649,1.36370288148394e-05,0.00346028480700232,"Not significant"
"ENSMUSG00000027375",11003.6095948811,-0.481215826444567,0.110539203584119,-4.35334985997406,1.34072927648849e-05,0.00346028480700232,"Not significant"
"ENSMUSG00000034275",5999.59071387794,-0.476083058024838,0.109524833238417,-4.34680468299353,1.38135122036021e-05,0.00346028480700232,"Not significant"
"ENSMUSG00000034765",3657.6850895015,-0.459404558407889,0.106117703019941,-4.32919810110817,1.49653270463627e-05,0.00368735845093166,"Not significant"
"ENSMUSG00000025533",677.673901518876,0.516130197276105,0.120128702564733,4.296476913983,1.73534031322866e-05,0.00420680079158496,"Not significant"
"ENSMUSG00000029602",480.670092380134,-0.585282581917751,0.136342051136691,-4.29275177421946,1.76472261132433e-05,0.00421012394415948,"Not significant"
